Sphera Model Description,Pkg Type,Lead Count,Mass,Pkg Size,Family,Node,Power dissipation (max),DigiKey (soq),DigiKey (TR1500 or 1000),Arrow (soq),Arrow (1500),Mouser (soq),Mouser (1500),Rochester (1000),Avnet (1000),Avg Cost,Min Cost
GLO: IC DIP 24 (1.7g) 35.5x8.2 mm CMOS logic (250 nm node) Sphera,DIP,24,1700.0,35.5x8.2mm,CMOS logic,250.0,350.0,9.47,,,,,,8.13,8.66,8.753333333,8.13
GLO: IC DIP 24 (2.59g) 35.5x8.2x3.8 [based on models 2004-2014] Sphera,DIP,24,2590.0,35.5x8.2x3.8mm,Unknown,,168.0,2.12,,,,,,1.82,,1.97,1.82
GLO: IC DIP 42 (6.30g) 54.6x14.1x3.9 [based on models 2004-2014] Sphera,DIP,42,6300.0,54.6x14.1x3.9mm,Unknown,,1120.0,47.5,,,,,,40.77,44.07,44.11333333,40.77
GLO: IC DIP 8 (480mg) 10.9x6.6x3.3 [based on models 2004-2014] Sphera,DIP,8,480.0,10.9x6.6x3.3mm,Unknown,,18.4,0.38,,0.44,,0.39,0.12,0.09,0.21,0.2716666667,0.09
GLO: IC DIP 8 (538mg) 10.9x6.6 mm CMOS logic (250 nm node) Sphera,DIP,8,538.0,10.9x6.6mm,CMOS logic,250.0,830.0,,,,,,,0.39,0.42,0.405,0.39
GLO: IC PLCC 20 (700mg) 8.9x8.9x3.8 [based on models 2004-2014] Sphera,PLCC,20,700.0,8.9x8.9x3.8mm,Unknown,,70.0,3.13,,,,,,2.69,,2.91,2.69
GLO: IC PLCC 20 (751mg) 9x9 mm CMOS logic (250 nm node) Sphera,PLCC,20,751.0,9x9mm,CMOS logic,250.0,80.0,3.54,,,,,,3.04,3.38,3.32,3.04
GLO: IC PLCC 44 (2.30g) 16.6x16.6x3.8 [based on models 2004-2014] Sphera,PLCC,44,2300.0,16.6x16.6x3.8mm,Unknown,,750.0,10.65,,,,,,9.14,,9.895,9.14
GLO: IC PLCC 44 (2.6g) 16.6x16.6 mm CMOS logic (250 nm node) Sphera,PLCC,44,2600.0,16.6x16.6mm,CMOS logic,250.0,350.0,1.61,,,,,,1.38,1.52,1.503333333,1.38
GLO: IC PLCC 68 (4.60g) 24.2x24.2x3.9 [based on models 2004-2014] Sphera,PLCC,68,4600.0,24.2x24.2x3.9mm,Unknown,,,,,,,,,,,,
GLO: IC PLCC 68 (5g) 24.2x24.2 mm CMOS logic (250 nm node) Sphera,PLCC,68,5000.0,24.2x24.2mm,CMOS logic,250.0,315.0,8.6,,,,,,7.38,7.03,7.67,7.03
GLO: IC QFN 24 (61.6 mg) 4x6 mm CMOS logic (14 nm node) Sphera,QFN,24,61.6,4x6mm,CMOS logic,14.0,700.0,2.36,1.16,2.58,1.22,2.33,1.15,,,1.8,1.15
GLO: IC QFN 76 (578.8 mg) 10x11 mm CMOS logic (14 nm node) Sphera,QFN,76,578.8,10x11mm,CMOS logic,14.0,,,,,,,,,,,
GLO: IC QFP 240 (6.20g) 32x32x3.5 [based on models 2004-2014] Sphera,QFP,240,6200.0,32x32x3.5mm,Unknown,,,,,,,,,,,,
GLO: IC QFP 32 (180mg) 7x7x1.5 [based on models 2004-2014] Sphera,QFP,32,180.0,7x7x1.5mm,Unknown,,126.0,11.4,,,,,,9.79,9.92,10.37,9.79
GLO: IC QFP 32 (184mg) 7x7 mm CMOS logic (90 nm node) Sphera,QFP,32,184.0,7x7mm,CMOS logic,90.0,,,,,,,,,,,
GLO: IC QFP 80 (1.60g) 14x20x2.7 [based on models 2004-2014] Sphera,QFP,80,1600.0,14x20x2.7mm,Unknown,,249.0,12.52,,10.9,9.34,12.45,,,,11.3025,9.34
GLO: IC SO 20 (500mg) 12.8x7.5x2.3 [based on models 2004-2014] Sphera,SO,20,500.0,12.8x7.5x2.3mm,Unknown,,180.0,1.7,,,,,,1.45,,1.575,1.45
