Sphera Model Description,Pkg Type,Lead Count,Mass,Pkg Size,Family,Node,Source,Sphera Notes,Currently available similar chip to Sphera,Power dissipation (max),DigiKey (soq),DigiKey (TR1500 or 1000),Arrow (soq),Arrow (1500),Mouser (soq),Mouser (1500),Rochester (1000),Avnet (1000),FutureElectronics (soq),Avg Cost,Min Cost,,
GLO: IC PLCC 44 (2.6g) 16.6x16.6 mm CMOS logic (250 nm node) Sphera,PLCC,44,2600,16.6x16.6mm,CMOS logic,250,Sphera,,Fairchild CMOS 74FR16541QC  44PLCC,350,1.61,,,,,,1.38,1.52,,1.503333333,1.38,,
GLO: IC PLCC 68 (4.60g) 24.2x24.2x3.9 [based on models 2004-2014] Sphera,PLCC,68,4600,24.2x24.2x3.9mm,,,Sphera,based on models 2004-2014,Intel Modem N89026 68PLCC,,,,,,,,,,,,,,
GLO: IC PLCC 68 (5g) 24.2x24.2 mm CMOS logic (250 nm node) Sphera,PLCC,68,5000,24.2x24.2mm,CMOS logic,250,Sphera,,Cypress CMOS CY7C4235-15JC 68PLCC,315,8.6,,,,,,7.38,7.03,,7.67,7.03,,
GLO: IC QFN 24 (61.6 mg) 4x6 mm CMOS logic (14 nm node) Sphera,QFN,24,61.6,4x6mm,CMOS logic,14,Sphera,,TI CMOS TCA9548ARGERQ1 24VQFN,700,2.36,1.16,2.58,1.22,2.33,1.15,,,,1.8,1.15,,
GLO: IC QFN 76 (578.8 mg) 10x11 mm CMOS logic (14 nm node) Sphera,QFN,76,578.8,10x11mm,CMOS logic,14,Sphera,,none found,,,,,,,,,,,,,,
GLO: IC QFP 240 (6.20g) 32x32x3.5 [based on models 2004-2014] Sphera,QFP,240,6200,32x32x3.5mm,,,Sphera,based on models 2004-2014,Epson MCU S1C17705F101100 240QFP,,,,,,,,,,,,,,
GLO: IC QFP 32 (180mg) 7x7x1.5 [based on models 2004-2014] Sphera,QFP,32,180,7x7x1.5mm,,,Sphera,based on models 2004-2014,Intersil HI1176JCQ 32QFP,126,11.4,,,,,,9.79,9.92,,10.37,9.79,,
GLO: IC QFP 32 (184mg) 7x7 mm CMOS logic (90 nm node) Sphera,QFP,32,184,7x7mm,CMOS logic,90,Sphera,,none found,,,,,,,,,,,,,,
GLO: IC QFP 80 (1.60g) 14x20x2.7 [based on models 2004-2014] Sphera,QFP,80,1600,14x20x2.7mm,,,Sphera,based on models 2004-2014,ADI DAC ADAU1962AWBSTZ 80LQFP,249,12.52,,10.9,9.34,12.45,,,,,11.3025,9.34,,
GLO: IC SO 20 (500mg) 12.8x7.5x2.3 [based on models 2004-2014] Sphera,SO,20,500,12.8x7.5x2.3mm,,,Sphera,based on models 2004-2014,ADI OPAMP ADEL2020AR 20SOIC,180,1.7,,,,,,1.45,,,1.575,1.45,,
GLO: IC SO 20 (530mg) 12.8x7.5 mm CMOS logic (90 nm node) Sphera,SO,20,530,12.8x7.5mm,CMOS logic,90,Sphera,,TI CMOS SN74CBTLV3245ADWR 20SOIC,588.8,1.31,,,0.39,1.1,0.498,0.4,,,0.7396,0.39,,
GLO: IC SSOP 14 (120mg) 6.0x5.3x1.75 [based on models 2004-2014] Sphera,SSOP,14,120,6.0x5.3x1.75mm,,,Sphera,based on models 2004-2014,TI OPAMP TLC274CDBR  14SSOP,810,1.91,0.938,1.33,1.33,,0.864,0.77,,,1.190333333,0.77,,
GLO: IC SSOP 24 (123mg) 8.2x5.3 mm CMOS logic (65 nm node) Sphera,SSOP,24,123,8.2x5.3mm,CMOS logic,65,Sphera,,TI CMOS SN74LVC8T245DBQR 24SSOP,650,1.61,0.79,1.59,0.76,1.64,0.8,,,,1.198333333,0.76,,
GLO: IC SSOP 24 (210mg) 8.2x5.3x1.75 [based on models 2004-2014] Sphera,SSOP,24,210,8.2x5.3x1.75mm,,,Sphera,based on models 2004-2014,Cirrus PGA CS3302-ISZR  24SSOP,500,69.9,,,,,,60,58.08,,62.66,58.08,,
GLO: IC SSOP 64 (340mg) 26x10.2x1.75 [based on models 2004-2014] Sphera,SSOP,64,340,26x10.2x1.75mm,,,Sphera,based on models 2004-2014,none found,,,,,,,,,,,,,,
GLO: IC TQFP 100 (513mg) 14x14 mm MPU generic (130 nm node) Sphera,TQFP,100,513,14x14mm,MPU generic,130,Sphera,,Motorola MPU MCF5202PU33B,,,,,,,,,,,,,,
GLO: IC TQFP 100 (520mg) 14x14x1.0 [based on models 2004-2014] Sphera,TQFP,100,520,14x14x1.0mm,,,Sphera,based on models 2004-2014,ADI ADC AD9446BSVZ-80  100TQFP,328.3,115.58,,101.45,,114.98,,86.39,,,104.6,86.39,,
GLO: IC TQFP 32 (146mg) 5x5 mm MPU generic (130 nm node) Sphera,TQFP,32,146,5x5mm,MPU generic,130,Sphera,,none found,,,,,,,,,,,,,,
GLO: IC TQFP 32 (70mg) 5x5x1.0 [based on models 2004-2014] Sphera,TQFP,32,70,5x5x1.0mm,,,Sphera,based on models 2004-2014,TI ADC ADS7862YB/250  32TQFP,325,8.4,,9.26,9.11,16.42,10.81,9.41,,,10.56833333,8.4,,
GLO: IC TQFP 44 (260mg) 10x10x1.0 [based on models 2004-2014] Sphera,TQFP,44,260,10x10x1.0mm,,,Sphera,based on models 2004-2014,TI ADC AD9481BSUZ  44TQFP,439,44.19,,35.63,,41.31,,28.6,,,37.4325,28.6,,
GLO: IC TQFP 44 (272mg) 10x10 mm MPU generic (130 nm node) Sphera,TQFP,44,272,10x10mm,MPU generic,130,Sphera,,Motorola MPU MC68SEC000PB16  64TQFP 10x10mm,,,,,,,,,,,,,,
GLO: IC TSOP 28 (215mg) 8x13.4x1.2 DRAM [based on models 2004-2014] Sphera,TSOP,28,215,8x13.4x1.2mm,DRAM,,Sphera,based on models 2004-2014,"no DRAM in TSOP, all in BGA",,,,,,,,,,,,,,
GLO: IC TSOP 28 (215mg) 8x13.4x1.2 flash [based on models 2004-2014] Sphera,TSOP,28,215,8x13.4x1.2mm,flash,,Sphera,based on models 2004-2014,can find SRAM but not FLASH is 28TSOP,,,,,,,,,,,,,,
GLO: IC TSOP 28 (232mg) 8x13.4 mm DRAM (57 nm node) Sphera,TSOP,28,232,8x13.4mm,DRAM,57,Sphera,,"no DRAM in TSOP, all in BGA",,,,,,,,,,,,,,
GLO: IC TSOP 28 (232mg) 8x13.4 mm flash (45 nm node) Sphera,TSOP,28,232,8x13.4mm,flash,45,Sphera,,can find SRAM but not FLASH is 28TSOP,,,,,,,,,,,,,,
GLO: IC TSOP 32 (325mg) 8x20x1.2 DRAM [based on models 2004-2014] Sphera,TSOP,32,325,8x20x1.2mm,DRAM,,Sphera,based on models 2004-2014,"no DRAM in TSOP, all in BGA",,,,,,,,,,,,,,
GLO: IC TSOP 32 (325mg) 8x20x1.2 flash [based on models 2004-2014] Sphera,TSOP,32,325,8x20x1.2mm,flash,,Sphera,based on models 2004-2014,Microchip SST39SF040-70-4C-WHE 32TSOP,100,1.92,1.8,1.66,1.63,1.92,,,1.76,1.8,1.784285714,1.63,,
GLO: IC TSOP 32 (373mg) 8x20 nm DRAM (57 nm node) Sphera,TSOP,32,373,8x20mm,DRAM,57,Sphera,,"no DRAM in TSSOP, all in BGA",,,,,,,,,,,,,,
GLO: IC TSOP 32 (373mg) 8x20 nm flash (45 nm node) Sphera,TSOP,32,373,8x20mm,flash,45,Sphera,,no memory in 32TSOP,,,,,,,,,,,,,,
GLO: IC TSOP 56 (590mg) 14x20x1.2 DRAM [based on models 2004-2014] Sphera,TSOP,56,590,14x20x1.2mm,DRAM,,Sphera,based on models 2004-2014,ISSI IS42S16400J-6TL 10.16mm wide 54TSOP,100,1.92,1.42,1.4,,1.92,,,1.56,,1.644,1.4,,
GLO: IC TSOP 56 (590mg) 14x20x1.2 flash [based on models 2004-2014] Sphera,TSOP,56,590,14x20x1.2mm,flash,,Sphera,based on models 2004-2014,can find SRAM but not FLASH is 46TSOP,,,,,,,,,,,,,,
GLO: IC TSSOP 16 (59mg) 4.4x5.0 mm DRAM (57 nm node) Sphera,TSSOP,16,59,4.4x5.0mm,DRAM,57,Sphera,,"no DRAM in TSSOP, all in BGA",,,,,,,,,,,,,,
GLO: IC TSSOP 16 (59mg) 4.4x5.0 mm flash (45 nm node) Sphera,TSSOP,16,59,4.4x5.0mm,flash,45,Sphera,,"no FLASH, found EEPROM in 14TSSOP",,,,,,,,,,,,,,
GLO: IC TSSOP 16 (65mg) 4.4x5.0x1.2 DRAM [based on models 2004-2014] Sphera,TSSOP,16,65,4.4x5.0x1.2mm,DRAM,,Sphera,based on models 2004-2014,"no DRAM in TSSOP, all in BGA",,,,,,,,,,,,,,
GLO: IC TSSOP 16 (65mg) 4.4x5.0x1.2 flash [based on models 2004-2014] Sphera,TSSOP,16,65,4.4x5.0x1.2mm,flash,,Sphera,based on models 2004-2014,"no FLASH, found EEPROM in 14TSSOP",,,,,,,,,,,,,,
GLO: IC TSSOP 48 (102mg) 6.1x12.5x1.2 DRAM [based on models 2004-2014] Sphera,TSSOP,48,102,6.1x12.5x1.2mm,DRAM,,Sphera,based on models 2004-2014,Micron DRAM MT46V32M16P-5B:J TR  66TSSOP,180,6.47,4.61,6.47,4.37,7.18,5.13,,,,5.705,4.37,,
GLO: IC TSSOP 48 (102mg) 6.1x12.5x1.2 flash [based on models 2004-2014] Sphera,TSSOP,48,102,6.1x12.5x1.2mm,flash,,Sphera,based on models 2004-2014,not found,,,,,,,,,,,,,,
GLO: IC TSSOP 48 (187mg) 6.1x12.5 mm DRAM (57 nm node) Sphera,TSSOP,48,187,6.1x12.5mm,DRAM,57,Sphera,,"no DRAM in TSSOP, all in BGA",,,,,,,,,,,,,,
GLO: IC TSSOP 48 (187mg) 6.1x12.5 mm flash (45 nm node) Sphera,TSSOP,48,187,6.1x12.5mm,flash,45,Sphera,,"Micron  MT29F  (DigiKey, Arrow, Avnet)",,,,,,,,,,,,,,
GLO: IC TSSOP 8 (23mg) 3x3 mm DRAM (57 nm node) Sphera,TSSOP,8,23,3x3mm,DRAM,57,Sphera,,"no DRAM in TSSOP, all in BGA (8 pin SOIC)",,,,,,,,,,,,,,
GLO: IC TSSOP 8 (23mg) 3x3 mm flash (45 nm node) Sphera,TSSOP,8,23,3x3mm,flash,45,Sphera,,Microchip 24CS256T-I/SN 8TSSOP,19.5,0.86,,,,0.86,,,0.8,0.8,0.83,0.8,,
GLO: IC TSSOP 8 (28mg) 3.0x2.9x1.2 DRAM [based on models 2004-2014] Sphera,TSSOP,8,28,3.0x2.9x1.2mm,DRAM,,Sphera,based on models 2004-2014,"no DRAM in TSSOP, all in BGA (8 pin SOIC)",,,,,,,,,,,,,,
GLO: IC TSSOP 8 (28mg) 3.0x2.9x1.2 flash [based on models 2004-2014] Sphera,TSSOP,8,28,3.0x2.9x1.2mm,flash,,Sphera,based on models 2004-2014,not found,,,,,,,,,,,,,,
GLO: IC WLP CSP 196 (209mg) 12x12x1.41mm CMOS logic (14 nm node) Sphera,WLP CSP,196,209,12x12x1.41mm,CMOS logic,14,Sphera,,not found,,,,,,,,,,,,,,
GLO: IC WLP CSP 196 (209mg) 12x12x1.41mm CMOS logic (22 nm node) Sphera,WLP CSP,196,209,12x12x1.41mm,CMOS logic,22,Sphera,,not found,,,,,,,,,,,,,,
GLO: IC WLP CSP 196 (209mg) 12x12x1.41mm DRAM (57 nm node) Sphera,WLP CSP,196,209,12x12x1.41mm,DRAM,57,Sphera,,not found,,,,,,,,,,,,,,
GLO: IC WLP CSP 196 (209mg) 12x12x1.41mm flash (45 nm node) Sphera,WLP CSP,196,209,12x12x1.41mm,flash,45,Sphera,,not found,,,,,,,,,,,,,,
GLO: IC WLP CSP 196 (209mg) 12x12x1.41mm MPU generic (130 nm node) Sphera,WLP CSP,196,209,12x12x1.41mm,MPU generic,130,Sphera,,STMicro MCU STM32L4S9ZIJ6TR  144UFBGA 10x10,831,21.48,15.9,15.51,15.51,14.85,14.85,,15.74,14.14,15.9975,14.14,,
GLO: IC WLP CSP 425 (4.78g) 19x19x1.5mm CMOS logic (14 nm node) Sphera,WLP CSP,425,4780,19x19x1.5mm,CMOS logic,14,Sphera,,not found,,,,,,,,,,,,,,
GLO: IC WLP CSP 425 (4.78g) 19x19x1.5mm CMOS logic (22 nm node) Sphera,WLP CSP,425,4780,19x19x1.5mm,CMOS logic,22,Sphera,,not found,,,,,,,,,,,,,,
GLO: IC WLP CSP 425 (4.78g) 19x19x1.5mm DRAM (57 nm node) Sphera,WLP CSP,425,4780,19x19x1.5mm,DRAM,57,Sphera,,not found,,,,,,,,,,,,,,
GLO: IC WLP CSP 425 (4.78g) 19x19x1.5mm flash (45 nm node) Sphera,WLP CSP,425,4780,19x19x1.5mm,flash,45,Sphera,,not found,,,,,,,,,,,,,,
GLO: IC WLP CSP 425 (4.78g) 19x19x1.5mm MPU generic (130 nm node) Sphera,WLP CSP,425,4780,19x19x1.5mm,MPU generic,130,Sphera,,TI MPU AM6231ASGGGAALW  425FCCSP,105,16.28,10.31,11.85,11.5,16.13,10.23,,,,12.71666667,10.23,,
GLO: IC WLP CSP 49 (10.2mg) 3.17x3.17x0.55mm CMOS logic (14 nm node) Sphera,WLP CSP,49,10.2,3.17x3.17x0.55mm,CMOS logic,14,Sphera,,not found,,,,,,,,,,,,,,
GLO: IC WLP CSP 49 (10.2mg) 3.17x3.17x0.55mm CMOS logic (22 nm node) Sphera,WLP CSP,49,10.2,3.17x3.17x0.55mm,CMOS logic,22,Sphera,,TI CMOS TWL1200ZQCR 49UFBGA 2.8x2.8mm,28.8,3.29,,,,1.46,,1.44,,,2.063333333,1.44,,
GLO: IC WLP CSP 49 (10.2mg) 3.17x3.17x0.55mm DRAM (57 nm node) Sphera,WLP CSP,49,10.2,3.17x3.17x0.55mm,DRAM,57,Sphera,,not found,,,,,,,,,,,,,,
GLO: IC WLP CSP 49 (10.2mg) 3.17x3.17x0.55mm flash (45 nm node) Sphera,WLP CSP,49,10.2,3.17x3.17x0.55mm,flash,45,Sphera,,Macronix Flash MX25UM25345GBEI00 49WLCSP,0.005,3.51,,,,,,,3.17,3.25,3.31,3.17,,
GLO: IC WLP CSP 49 (10.2mg) 3.17x3.17x0.55mm MPU generic (130 nm node) Sphera,WLP CSP,49,10.2,3.17x3.17x0.55mm,MPU generic,130,Sphera,,STMicro MCU STM32L071CBY6TR 49CSP,104,5.44,2.9,3.65,2.54,4.81,2.81,,2.77,2.65,3.44625,2.54,,
